[05.08.2023 15:35:06] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 20:22:52] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 20:38:45] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 20:56:58] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 20:58:41] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:07:19] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:18:47] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:23:36] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:43:30] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:48:24] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:53:44] [INFO] received Windows console close event; shutting log-core down
[05.08.2023 21:57:41] [INFO] received Windows console close event; shutting log-core down
[06.08.2023 15:35:18] [INFO] received Windows console close event; shutting log-core down
[06.08.2023 17:16:31] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 13:24:30] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:15:04] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:24:15] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:28:20] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:32:49] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:41:19] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 15:55:21] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 19:08:41] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 19:33:28] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 19:39:22] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:01:11] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:20:32] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:24:45] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:38:40] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:52:52] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:52:58] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:57:17] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:57:46] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 20:59:37] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 21:04:25] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 21:04:39] [INFO] received Windows console close event; shutting log-core down
[07.08.2023 21:05:53] [INFO] received Windows console close event; shutting log-core down
[08.08.2023 15:55:56] [INFO] received Windows console close event; shutting log-core down
[08.08.2023 15:59:44] [INFO] received Windows console close event; shutting log-core down
[08.08.2023 18:17:03] [INFO] received Windows console close event; shutting log-core down
[08.08.2023 18:19:16] [INFO] received Windows console close event; shutting log-core down
[08.08.2023 21:32:44] [INFO] received Windows console close event; shutting log-core down
[09.08.2023 13:49:43] [INFO] received Windows console close event; shutting log-core down
[09.08.2023 14:11:23] [INFO] received Windows console close event; shutting log-core down
[09.08.2023 14:13:40] [INFO] received Windows console close event; shutting log-core down
[09.08.2023 14:16:15] [INFO] received Windows console close event; shutting log-core down
[09.08.2023 14:18:06] [INFO] received Windows console close event; shutting log-core down
[09.08.2023 14:22:36] [INFO] received Windows console close event; shutting log-core down
[09.08.2023 14:31:37] [INFO] received Windows console close event; shutting log-core down
[09.08.2023 18:41:56] [INFO] received Windows console close event; shutting log-core down
[09.08.2023 20:55:53] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 14:51:13] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 14:54:07] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 14:56:20] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 14:58:12] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 14:59:27] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 15:01:04] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 15:05:12] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 15:51:42] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 15:54:04] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 15:57:43] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 16:05:26] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 16:14:19] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 16:17:34] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 16:21:46] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 16:23:57] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 16:32:09] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 16:36:26] [INFO] received Windows console close event; shutting log-core down
[10.08.2023 16:44:58] [INFO] received Windows console close event; shutting log-core down
[11.08.2023 0:39:41] [INFO] received Windows console close event; shutting log-core down
[25.08.2023 12:15:08] [INFO] received Windows console close event; shutting log-core down
[25.08.2023 12:15:41] [INFO] received Windows console close event; shutting log-core down
[25.08.2023 12:37:34] [INFO] received Windows console close event; shutting log-core down
[25.08.2023 12:44:16] [INFO] received Windows console close event; shutting log-core down
[25.08.2023 13:04:19] [INFO] received Windows console close event; shutting log-core down
[02.09.2023 13:48:24] [INFO] received Windows console close event; shutting log-core down
[03.09.2023 14:44:01] [INFO] received Windows console close event; shutting log-core down
[03.09.2023 14:53:02] [INFO] received Windows console close event; shutting log-core down
[03.09.2023 15:02:12] [INFO] received Windows console close event; shutting log-core down
[03.09.2023 15:07:54] [INFO] received Windows console close event; shutting log-core down
[03.09.2023 15:09:22] [INFO] received Windows console close event; shutting log-core down
[03.09.2023 17:08:33] [INFO] received Windows console close event; shutting log-core down
[03.09.2023 17:20:21] [INFO] received Windows console close event; shutting log-core down
[03.09.2023 17:22:14] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 15:56:05] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 16:45:13] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 17:07:10] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 17:34:46] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 17:38:54] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 17:40:42] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 17:43:07] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 18:43:28] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 19:01:48] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 19:19:27] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 19:22:31] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 19:24:51] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 20:28:18] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 20:47:56] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 21:00:15] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 21:03:07] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 21:04:40] [INFO] received Windows console close event; shutting log-core down
[04.09.2023 21:08:31] [INFO] received Windows console close event; shutting log-core down
[17.09.2023 14:41:19] [INFO] received Windows console close event; shutting log-core down
[17.09.2023 14:42:58] [INFO] received Windows console close event; shutting log-core down
